condition,model,marker,category,citation,orig_mean,rewrite_mean,cohens_d,p_value,pct_change
rewrite_only,claude_sonnet,voice_contraction_density,Register,Biber 1988; Heylighen & Dewaele 2002,0.0204,0.0126,-0.5971,6.514371191754789e-21,-38.28
rewrite_only,claude_sonnet,voice_first_person_density,Register,Biber 1988,0.0875,0.0761,-0.7298,3.7822263125104835e-29,-13.07
rewrite_only,claude_sonnet,emo_word_density,Register,Pennebaker et al. 2015,0.0705,0.0753,0.2667,1.266851121838527e-05,6.86
rewrite_only,gemini_31_pro,mfw_top50_coverage,Function Words,Burrows 2002; Eder et al. 2016,0.671347993298808,0.5597398473561019,-2.6484050069923737,6.083559849691437e-51,-16.624484925365792
rewrite_only,gemini_31_pro,mfw_fw_ratio,Function Words,Burrows 2002; Eder et al. 2016,0.4712572704457465,0.4127364639495849,-1.7393037637158844,1.811437516253396e-49,-12.41801668986639
rewrite_only,gemini_31_pro,vocab_honores_r,Vocabulary,Honoré 1979,1829.037885518078,2795.0462856536656,2.7195998516422493,6.269332341784468e-51,52.81511158321164
rewrite_only,gemini_31_pro,ld_mtld,Vocabulary,McCarthy & Jarvis 2010,69.4687,122.0506,2.0371,1.0139192181036736e-50,75.69
rewrite_only,gemini_31_pro,wlen_mean,Vocabulary,Mendenhall 1887,3.997370964474503,4.4946762355337295,2.3004361056687657,6.144866877758197e-51,12.44080860843003
rewrite_only,gemini_31_pro,char_3gram_entropy,Vocabulary,"Stamatatos 2009, 2013",8.79740276439843,9.219673525908538,2.059240160557467,6.083559849691437e-51,4.799948039425504
rewrite_only,gemini_31_pro,vocab_yules_k,Vocabulary,Yule 1944; Tweedie & Baayen 1998,137.17376645045996,101.81836136062071,-1.2267545831518005,2.6504885623585456e-45,-25.774173885214257
rewrite_only,gemini_31_pro,slen_mean,Syntax & Punctuation,Williams 1940; Stamatatos 2009,15.888186098426974,17.534839968135277,0.5083842113554423,2.8708475380274036e-14,10.364014239934734
rewrite_only,gemini_31_pro,punct_comma_ratio,Syntax & Punctuation,Stamatatos 2009; Grieve 2007,0.03212498549130149,0.0543351942823559,1.4823110573759875,5.9614428760456005e-40,69.1368679281374
rewrite_only,gemini_31_pro,punct_dash_ratio,Syntax & Punctuation,Stamatatos 2009,0.0019129864299860736,0.007455015285379591,1.0583314720641999,2.006502168757127e-31,289.7056021162609
rewrite_only,gemini_31_pro,voice_contraction_density,Register,Biber 1988; Heylighen & Dewaele 2002,0.0204,0.0072,-0.9305,1.896948956884293e-36,-64.77
rewrite_only,gemini_31_pro,voice_first_person_density,Register,Biber 1988,0.0875,0.0776,-0.6564,1.7009986728049887e-24,-11.28
rewrite_only,gemini_31_pro,emo_word_density,Register,Pennebaker et al. 2015,0.0705,0.0911,1.0778,4.886796656960576e-39,29.29
voice_preserving,gpt54,mfw_top50_coverage,Function Words,Burrows 2002; Eder et al. 2016,0.671347993298808,0.6497226175994419,-0.4477888835957522,7.688761470501569e-38,-3.221187210690135
voice_preserving,gpt54,mfw_fw_ratio,Function Words,Burrows 2002; Eder et al. 2016,0.4712572704457465,0.4625326442067985,-0.2456895750267521,1.2923311582981044e-15,-1.8513510106052375
voice_preserving,gpt54,vocab_honores_r,Vocabulary,Honoré 1979,1829.037885518078,1937.9412207934672,0.36897829355566014,2.173462271612716e-17,5.954132286578757
voice_preserving,gpt54,ld_mtld,Vocabulary,McCarthy & Jarvis 2010,69.4687,78.1884,0.6924,8.014549278479543e-26,12.55
voice_preserving,gpt54,wlen_mean,Vocabulary,Mendenhall 1887,3.997370964474503,4.038899545762996,0.19951640180248104,4.410638001006697e-18,1.0388973567268787
voice_preserving,gpt54,char_3gram_entropy,Vocabulary,"Stamatatos 2009, 2013",8.79740276439843,8.880212965516133,0.37142568171418466,1.7165987675263838e-46,0.9413028292034201
voice_preserving,gpt54,vocab_yules_k,Vocabulary,Yule 1944; Tweedie & Baayen 1998,137.17376645045996,129.2582011030482,-0.22815188181774587,1.261685152990436e-20,-5.77046584943809
voice_preserving,gpt54,slen_mean,Syntax & Punctuation,Williams 1940; Stamatatos 2009,15.888186098426974,15.865179068833065,-0.006225114401176661,0.2759814276384003,-0.14480589194626287
voice_preserving,gpt54,punct_comma_ratio,Syntax & Punctuation,Stamatatos 2009; Grieve 2007,0.03212498549130149,0.051586872237779545,1.237930393203757,1.743497553682038e-42,60.581775987876384
voice_preserving,gpt54,punct_dash_ratio,Syntax & Punctuation,Stamatatos 2009,0.0019129864299860736,0.005754319102583341,0.7050562386307523,3.901867085491853e-22,200.80292324003742
voice_preserving,gpt54,voice_contraction_density,Register,Biber 1988; Heylighen & Dewaele 2002,0.0204,0.0207,0.0342,0.9834112322081662,1.33
voice_preserving,gpt54,voice_first_person_density,Register,Biber 1988,0.0875,0.0852,-0.2672,7.89525022816633e-10,-2.59
voice_preserving,gpt54,emo_word_density,Register,Pennebaker et al. 2015,0.0705,0.0702,-0.0291,0.8349934960540201,-0.37
voice_preserving,claude_sonnet,mfw_top50_coverage,Function Words,Burrows 2002; Eder et al. 2016,0.671347993298808,0.596418825731147,-1.60249860051352,6.525843069113243e-51,-11.16100268647277
voice_preserving,claude_sonnet,mfw_fw_ratio,Function Words,Burrows 2002; Eder et al. 2016,0.4712572704457465,0.43899307313880265,-0.9114889325729636,1.4291189782498298e-42,-6.846408390989114
voice_preserving,claude_sonnet,vocab_honores_r,Vocabulary,Honoré 1979,1829.037885518078,2162.5366843960915,1.1523691244750691,2.2352485524190838e-41,18.23356429730538
voice_preserving,claude_sonnet,ld_mtld,Vocabulary,McCarthy & Jarvis 2010,69.4687,97.0906,1.312,6.1033377221441805e-46,39.76
voice_preserving,claude_sonnet,wlen_mean,Vocabulary,Mendenhall 1887,3.997370964474503,4.192795111213803,0.9336964779109973,5.464854826542578e-44,4.888816886800758
voice_preserving,claude_sonnet,char_3gram_entropy,Vocabulary,"Stamatatos 2009, 2013",8.79740276439843,9.097065487039625,1.4092114414258747,6.657990099687151e-51,3.406263537846395
voice_preserving,claude_sonnet,vocab_yules_k,Vocabulary,Yule 1944; Tweedie & Baayen 1998,137.17376645045996,110.17521619131352,-0.8754398713605659,5.314515505305939e-44,-19.682006959324045
voice_preserving,claude_sonnet,slen_mean,Syntax & Punctuation,Williams 1940; Stamatatos 2009,15.888186098426974,14.528283665893092,-0.388989769352557,7.620281127904203e-08,-8.559205085522764
